학년도,시도,학업중단자 총계,초등학교,,,중학교,,,,,,,,고등학교,,,,,,,,,,,,,,
,,,계,유예,면제,계,2003년 이후 기준,,2002년까지의 기준,,,,,계,유예,면제,자퇴(~2011학년도까지의 기준),,,,,자퇴(2012학년도 이후 기준),,,,,퇴학,제적
,,,,,,,유예,면제,질병,부적응,품행,가사,기타,,,,질병,부적응,품행,가사,기타,질병,가사,부적응,해외출국,기타,,
1999,부산,5696,1055,1055,0,1290,0,0,78,606,79,210,317,3351,0,0,223,1830,297,568,433,0,0,0,0,0,0,0
2000,부산,6028,843,843,0,1303,0,0,82,608,64,211,338,3882,0,0,206,2237,218,708,513,0,0,0,0,0,0,0
2001,부산,6072,1023,1023,0,1280,0,0,71,509,33,189,478,3769,0,0,221,2038,151,577,782,0,0,0,0,0,0,0
2002,부산,5156,1380,1380,0,1028,0,0,71,337,71,106,443,2748,0,0,136,1313,377,514,408,0,0,0,0,0,0,0
2003,부산,4866,1975,1950,25,705,615,90,0,0,0,0,0,2186,0,0,148,1210,205,347,276,0,0,0,0,0,0,0
2004,부산,3923,1387,1359,28,761,732,29,0,0,0,0,0,1775,0,0,143,882,132,359,259,0,0,0,0,0,0,0
2005,부산,3463,1060,1046,14,765,718,47,0,0,0,0,0,1638,0,0,144,823,85,321,265,0,0,0,0,0,0,0
2006,부산,4213,1035,1030,5,1158,1097,61,0,0,0,0,0,2020,0,0,160,1142,101,274,343,0,0,0,0,0,0,0
2007,부산,4713,1139,1115,24,1199,1142,57,0,0,0,0,0,2375,0,0,194,1130,64,383,604,0,0,0,0,0,0,0
2008,부산,4659,937,920,17,1176,1148,28,0,0,0,0,0,2546,0,0,154,1476,51,452,413,0,0,0,0,0,0,0
2009,부산,3892,446,440,6,1033,996,37,0,0,0,0,0,2413,0,0,171,1259,65,360,558,0,0,0,0,0,0,0
2010,부산,4290,649,536,113,1089,1014,75,0,0,0,0,0,2552,0,0,185,1202,78,226,861,0,0,0,0,0,0,0
2011,부산,4439,754,493,261,1104,975,129,0,0,0,0,0,2581,0,0,147,1160,99,270,905,0,0,0,0,0,0,0
2012,부산,4011,622,339,283,1012,906,106,0,0,0,0,0,2377,22,1,0,0,0,0,0,98,224,1234,234,461,103,0
2013,부산,3518,716,362,354,865,787,78,0,0,0,0,0,1937,10,4,0,0,0,0,0,95,153,1009,197,372,56,41
2014,부산,2926,686,340,346,670,569,101,0,0,0,0,0,1570,14,3,0,0,0,0,0,71,55,616,217,524,42,28
2015,부산,2644,618,292,326,532,440,92,0,0,0,0,0,1494,4,7,0,0,0,0,0,54,51,560,209,540,56,13
2016,부산,2459,693,297,396,499,403,96,0,0,0,0,0,1267,8,2,0,0,0,0,0,48,13,423,192,523,43,15
2017,부산,2679,760,326,434,477,353,124,0,0,0,0,0,1442,7,2,0,0,0,0,0,71,28,450,209,607,55,13
2018,부산,2857,805,340,465,501,391,110,0,0,0,0,0,1551,9,3,0,0,0,0,0,120,18,484,219,609,82,7
2019,부산,2609,786,332,454,495,364,131,0,0,0,0,0,1328,7,6,0,0,0,0,0,84,6,399,188,579,57,2
1999,대구,2744,346,346,0,657,0,0,46,279,15,147,170,1741,0,0,152,831,57,419,282,0,0,0,0,0,0,0
2000,대구,3166,586,586,0,699,0,0,51,300,42,128,178,1881,0,0,140,970,178,352,241,0,0,0,0,0,0,0
2001,대구,3168,593,593,0,747,0,0,49,278,24,133,263,1828,0,0,181,966,63,290,328,0,0,0,0,0,0,0
2002,대구,2650,600,600,0,552,0,0,46,171,29,62,244,1498,0,0,119,765,75,274,265,0,0,0,0,0,0,0
2003,대구,3073,1522,1498,24,409,383,26,0,0,0,0,0,1142,0,0,119,577,58,241,147,0,0,0,0,0,0,0
2004,대구,1883,484,471,13,462,452,10,0,0,0,0,0,937,0,0,91,528,34,199,85,0,0,0,0,0,0,0
2005,대구,2192,683,681,2,568,564,4,0,0,0,0,0,941,0,0,82,495,36,182,146,0,0,0,0,0,0,0
2006,대구,2728,824,813,11,691,681,10,0,0,0,0,0,1213,0,0,105,700,12,200,196,0,0,0,0,0,0,0
2007,대구,3002,705,699,6,784,777,7,0,0,0,0,0,1513,0,0,129,876,30,240,238,0,0,0,0,0,0,0
2008,대구,2746,512,507,5,721,714,7,0,0,0,0,0,1513,0,0,125,883,15,197,293,0,0,0,0,0,0,0
2009,대구,2379,340,336,4,577,571,6,0,0,0,0,0,1462,0,0,126,871,3,114,348,0,0,0,0,0,0,0
2010,대구,2834,628,430,198,689,629,60,0,0,0,0,0,1517,0,0,94,940,17,53,413,0,0,0,0,0,0,0
2011,대구,2931,601,407,194,615,544,71,0,0,0,0,0,1715,0,0,110,1028,2,44,531,0,0,0,0,0,0,0
2012,대구,2683,479,286,193,576,498,78,0,0,0,0,0,1628,23,0,0,0,0,0,0,59,75,994,142,309,26,0
2013,대구,2379,478,218,260,496,430,66,0,0,0,0,0,1405,5,0,0,0,0,0,0,45,30,840,153,311,14,7
2014,대구,1950,394,207,187,374,307,67,0,0,0,0,0,1182,6,0,0,0,0,0,0,39,23,581,148,317,67,1
2015,대구,1750,358,172,186,293,241,52,0,0,0,0,0,1099,7,0,0,0,0,0,0,49,27,531,113,306,65,1
2016,대구,1994,465,185,280,273,227,46,0,0,0,0,0,1256,6,0,0,0,0,0,0,50,16,568,132,402,82,0
2017,대구,1948,493,216,277,292,226,66,0,0,0,0,0,1163,3,0,0,0,0,0,0,69,21,360,137,495,78,0
2018,대구,1936,530,224,306,311,232,79,0,0,0,0,0,1095,1,0,0,0,0,0,0,64,21,347,112,495,54,1
2019,대구,1933,535,222,313,351,276,75,0,0,0,0,0,1047,2,0,0,0,0,0,0,63,6,345,105,479,45,2
1999,인천,3914,683,683,0,941,0,0,44,478,20,132,267,2290,0,0,74,1440,40,386,350,0,0,0,0,0,0,0
2000,인천,4440,696,696,0,982,0,0,51,416,15,174,326,2762,0,0,113,1575,86,620,368,0,0,0,0,0,0,0
2001,인천,4373,999,999,0,1014,0,0,51,348,18,188,409,2360,0,0,84,1121,46,765,344,0,0,0,0,0,0,0
2002,인천,3655,906,906,0,827,0,0,30,217,59,102,419,1922,0,0,105,890,148,501,278,0,0,0,0,0,0,0
2003,인천,3968,1980,1920,60,555,463,92,0,0,0,0,0,1433,0,0,60,777,30,367,199,0,0,0,0,0,0,0
2004,인천,2921,855,835,20,856,795,61,0,0,0,0,0,1210,0,0,56,599,28,288,239,0,0,0,0,0,0,0
2005,인천,3229,1041,1015,26,933,890,43,0,0,0,0,0,1255,0,0,62,714,5,283,191,0,0,0,0,0,0,0
2006,인천,3676,1300,1279,21,926,909,17,0,0,0,0,0,1450,0,0,79,716,25,372,258,0,0,0,0,0,0,0
2007,인천,4043,966,963,3,1107,1098,9,0,0,0,0,0,1970,0,0,102,1172,26,339,331,0,0,0,0,0,0,0
2008,인천,4153,856,843,13,1252,1244,8,0,0,0,0,0,2045,0,0,72,1128,20,460,365,0,0,0,0,0,0,0
2009,인천,3664,579,569,10,974,943,31,0,0,0,0,0,2111,0,0,94,1122,29,446,420,0,0,0,0,0,0,0
2010,인천,4180,843,680,163,1138,1059,79,0,0,0,0,0,2199,0,0,128,968,35,192,876,0,0,0,0,0,0,0
2011,인천,3810,812,555,257,1058,979,79,0,0,0,0,0,1940,0,0,164,376,23,135,1242,0,0,0,0,0,0,0
2012,인천,3328,720,416,304,890,813,77,0,0,0,0,0,1718,11,1,0,0,0,0,0,124,76,435,159,874,38,0
2013,인천,3035,724,373,351,743,669,74,0,0,0,0,0,1568,7,1,0,0,0,0,0,84,67,501,160,689,46,13
2014,인천,2485,620,296,324,559,462,97,0,0,0,0,0,1306,5,0,0,0,0,0,0,62,35,233,205,695,61,10
2015,인천,2266,709,345,364,481,391,90,0,0,0,0,0,1076,2,0,0,0,0,0,0,47,14,190,176,586,46,15
2016,인천,2346,636,251,385,476,373,103,0,0,0,0,0,1234,4,0,0,0,0,0,0,68,15,214,196,669,62,6
2017,인천,2441,737,349,388,516,421,95,0,0,0,0,0,1188,8,0,0,0,0,0,0,58,13,238,192,621,56,2
2018,인천,2701,811,366,445,566,452,114,0,0,0,0,0,1324,2,0,0,0,0,0,0,62,10,299,176,720,55,0
2019,인천,2690,932,443,489,523,398,125,0,0,0,0,0,1235,8,0,0,0,0,0,0,55,10,275,148,709,30,0
1999,광주,2548,239,239,0,564,0,0,35,138,24,266,101,1745,0,0,76,541,187,697,244,0,0,0,0,0,0,0
2000,광주,2668,434,434,0,553,0,0,26,126,18,273,110,1681,0,0,55,473,82,710,361,0,0,0,0,0,0,0
2001,광주,2262,339,339,0,604,0,0,35,114,15,276,164,1319,0,0,61,268,193,598,199,0,0,0,0,0,0,0
2002,광주,1992,412,412,0,402,0,0,24,58,41,134,145,1178,0,0,64,228,93,640,153,0,0,0,0,0,0,0
2003,광주,2019,704,695,9,329,300,29,0,0,0,0,0,986,0,0,39,263,41,464,179,0,0,0,0,0,0,0
2004,광주,1606,369,362,7,355,352,3,0,0,0,0,0,882,0,0,51,158,109,450,114,0,0,0,0,0,0,0
2005,광주,1476,285,275,10,397,392,5,0,0,0,0,0,794,0,0,74,153,101,321,145,0,0,0,0,0,0,0
2006,광주,1929,458,450,8,480,479,1,0,0,0,0,0,991,0,0,58,137,147,431,218,0,0,0,0,0,0,0
2007,광주,2246,446,440,6,496,490,6,0,0,0,0,0,1304,0,0,59,233,178,598,236,0,0,0,0,0,0,0
2008,광주,2199,323,323,0,506,504,2,0,0,0,0,0,1370,0,0,49,331,70,681,239,0,0,0,0,0,0,0
2009,광주,2062,271,263,8,418,405,13,0,0,0,0,0,1373,0,0,66,402,1,531,373,0,0,0,0,0,0,0
2010,광주,2335,420,385,35,483,467,16,0,0,0,0,0,1432,0,0,75,543,20,336,458,0,0,0,0,0,0,0
2011,광주,2173,387,316,71,484,460,24,0,0,0,0,0,1302,0,0,75,619,10,167,431,0,0,0,0,0,0,0
2012,광주,1918,332,226,106,433,403,30,0,0,0,0,0,1153,11,0,0,0,0,0,0,76,101,559,113,241,52,0
2013,광주,1729,310,190,120,349,324,25,0,0,0,0,0,1070,2,0,0,0,0,0,0,47,100,568,93,180,30,50
2014,광주,1437,232,137,95,297,273,24,0,0,0,0,0,908,3,0,0,0,0,0,0,25,8,411,108,301,12,40
