학년도,시도,학업중단자 총계,초등학교,,,중학교,,,,,,,,고등학교,,,,,,,,,,,,,,
,,,계,유예,면제,계,2003년 이후 기준,,2002년까지의 기준,,,,,계,유예,면제,자퇴(~2011학년도까지의 기준),,,,,자퇴(2012학년도 이후 기준),,,,,퇴학,제적
,,,,,,,유예,면제,질병,부적응,품행,가사,기타,,,,질병,부적응,품행,가사,기타,질병,가사,부적응,해외출국,기타,,
2011,경기,20341,6124,3893,2231,5042,4301,741,0,0,0,0,0,9175,0,0,539,4185,115,283,4053,0,0,0,0,0,0,0
2012,경기,19602,5627,2935,2692,4917,4174,743,0,0,0,0,0,9058,45,3,0,0,0,0,0,289,197,4954,1343,1912,315,0
2013,경기,17587,5327,2511,2816,4317,3480,837,0,0,0,0,0,7943,36,2,0,0,0,0,0,305,153,4238,1215,1696,227,71
2014,경기,15463,5045,2316,2729,3650,2902,748,0,0,0,0,0,6768,24,0,0,0,0,0,0,213,70,2627,1248,2391,148,47
2015,경기,14143,5083,2392,2691,3175,2453,722,0,0,0,0,0,5885,30,1,0,0,0,0,0,211,67,2020,1126,2277,114,39
2016,경기,14330,5104,2098,3006,2860,2084,776,0,0,0,0,0,6366,27,0,0,0,0,0,0,244,46,1663,1287,2930,140,29
2017,경기,15576,5650,2468,3182,2974,2129,845,0,0,0,0,0,6952,27,1,0,0,0,0,0,229,51,1821,1153,3488,157,25
2018,경기,16806,6528,2682,3846,3280,2437,843,0,0,0,0,0,6998,23,0,0,0,0,0,0,275,52,1621,1112,3774,131,10
2019,경기,16773,6422,2942,3480,3432,2509,923,0,0,0,0,0,6919,14,0,0,0,0,0,0,264,43,1549,987,3943,108,11
1999,강원,2626,344,344,0,551,0,0,19,284,71,62,115,1731,0,0,95,543,66,872,155,0,0,0,0,0,0,0
2000,강원,2733,372,372,0,569,0,0,17,280,31,79,162,1792,0,0,65,765,95,676,191,0,0,0,0,0,0,0
2001,강원,2663,518,518,0,544,0,0,21,295,15,48,165,1601,0,0,76,627,60,592,246,0,0,0,0,0,0,0
2002,강원,2201,349,349,0,403,0,0,19,153,59,35,137,1449,0,0,61,642,121,461,164,0,0,0,0,0,0,0
2003,강원,2130,714,672,42,415,367,48,0,0,0,0,0,1001,0,0,28,468,30,348,127,0,0,0,0,0,0,0
2004,강원,1721,436,433,3,370,354,16,0,0,0,0,0,915,0,0,39,371,34,224,247,0,0,0,0,0,0,0
2005,강원,1730,491,487,4,406,399,7,0,0,0,0,0,833,0,0,33,279,69,201,251,0,0,0,0,0,0,0
2006,강원,1849,483,482,1,491,488,3,0,0,0,0,0,875,0,0,53,337,21,237,227,0,0,0,0,0,0,0
2007,강원,1906,427,419,8,445,428,17,0,0,0,0,0,1034,0,0,75,412,20,228,299,0,0,0,0,0,0,0
2008,강원,2038,376,366,10,497,487,10,0,0,0,0,0,1165,0,0,68,460,14,321,302,0,0,0,0,0,0,0
2009,강원,1780,244,231,13,394,385,9,0,0,0,0,0,1142,0,0,69,405,24,311,333,0,0,0,0,0,0,0
2010,강원,2104,314,254,60,497,475,22,0,0,0,0,0,1293,0,0,79,724,17,117,356,0,0,0,0,0,0,0
2011,강원,2029,362,289,73,448,421,27,0,0,0,0,0,1219,0,0,53,664,12,66,424,0,0,0,0,0,0,0
2012,강원,1981,294,208,86,428,398,30,0,0,0,0,0,1259,11,0,0,0,0,0,0,44,71,783,86,234,30,0
2013,강원,1635,289,190,99,299,269,30,0,0,0,0,0,1047,3,1,0,0,0,0,0,32,32,624,66,240,29,20
2014,강원,1379,297,190,107,278,252,26,0,0,0,0,0,804,3,0,0,0,0,0,0,25,9,342,88,265,55,17
2015,강원,1246,239,132,107,253,242,11,0,0,0,0,0,754,3,0,0,0,0,0,0,26,30,268,64,308,46,9
2016,강원,1306,308,179,129,216,191,25,0,0,0,0,0,782,0,0,0,0,0,0,0,29,12,265,62,377,32,5
2017,강원,1414,396,173,223,201,176,25,0,0,0,0,0,817,1,0,0,0,0,0,0,25,20,281,72,385,27,6
2018,강원,1398,324,164,160,217,186,31,0,0,0,0,0,857,3,0,0,0,0,0,0,39,11,366,59,346,33,0
2019,강원,1353,318,162,156,227,200,27,0,0,0,0,0,808,2,0,0,0,0,0,0,42,4,348,48,315,47,2
1999,충북,2287,344,344,0,524,0,0,32,149,57,131,155,1419,0,0,68,286,76,837,152,0,0,0,0,0,0,0
2000,충북,2184,311,311,0,463,0,0,29,140,64,103,127,1410,0,0,72,502,44,664,128,0,0,0,0,0,0,0
2001,충북,2312,403,403,0,504,0,0,35,172,20,108,169,1405,0,0,52,437,16,726,174,0,0,0,0,0,0,0
2002,충북,2082,430,430,0,415,0,0,18,108,27,97,165,1237,0,0,53,411,111,550,112,0,0,0,0,0,0,0
2003,충북,2402,986,981,5,410,341,69,0,0,0,0,0,1006,0,0,36,396,18,296,260,0,0,0,0,0,0,0
2004,충북,1516,386,384,2,327,305,22,0,0,0,0,0,803,0,0,49,295,20,257,182,0,0,0,0,0,0,0
2005,충북,1449,362,357,5,322,304,18,0,0,0,0,0,765,0,0,55,445,12,126,127,0,0,0,0,0,0,0
2006,충북,1724,343,331,12,517,498,19,0,0,0,0,0,864,0,0,41,293,90,262,178,0,0,0,0,0,0,0
2007,충북,1780,322,318,4,452,436,16,0,0,0,0,0,1006,0,0,62,357,46,334,207,0,0,0,0,0,0,0
2008,충북,1882,335,324,11,447,426,21,0,0,0,0,0,1100,0,0,63,466,37,298,236,0,0,0,0,0,0,0
2009,충북,1667,212,193,19,365,352,13,0,0,0,0,0,1090,0,0,39,450,13,239,349,0,0,0,0,0,0,0
2010,충북,1848,270,209,61,493,445,48,0,0,0,0,0,1085,0,0,56,589,7,149,284,0,0,0,0,0,0,0
2011,충북,1923,318,233,85,417,396,21,0,0,0,0,0,1188,0,0,65,597,17,73,436,0,0,0,0,0,0,0
2012,충북,1730,244,145,99,390,364,26,0,0,0,0,0,1096,19,1,0,0,0,0,0,32,49,651,48,272,24,0
2013,충북,1626,244,108,136,362,326,36,0,0,0,0,0,1020,9,1,0,0,0,0,0,52,81,606,56,194,14,7
2014,충북,1404,269,120,149,272,247,25,0,0,0,0,0,863,10,0,0,0,0,0,0,40,21,420,56,277,39,0
2015,충북,1207,223,81,142,219,191,28,0,0,0,0,0,765,11,0,0,0,0,0,0,25,8,436,58,209,16,2
2016,충북,1312,238,80,158,215,162,53,0,0,0,0,0,859,7,0,0,0,0,0,0,32,9,432,61,299,16,3
2017,충북,1226,250,81,169,197,131,66,0,0,0,0,0,779,4,0,0,0,0,0,0,19,8,379,47,301,20,1
2018,충북,1330,275,76,199,210,163,47,0,0,0,0,0,845,6,1,0,0,0,0,0,31,9,435,55,281,25,2
2019,충북,1277,266,81,185,230,179,51,0,0,0,0,0,781,2,0,0,0,0,0,0,35,6,397,39,281,20,1
1999,충남,3327,258,258,0,615,0,0,42,130,126,123,194,2454,0,0,129,1016,172,1008,129,0,0,0,0,0,0,0
2000,충남,3441,396,396,0,606,0,0,33,147,106,129,191,2439,0,0,89,921,109,1064,256,0,0,0,0,0,0,0
2001,충남,3478,588,588,0,642,0,0,23,123,82,222,192,2248,0,0,96,884,98,897,273,0,0,0,0,0,0,0
2002,충남,2794,409,409,0,489,0,0,40,123,56,109,161,1896,0,0,72,682,160,790,192,0,0,0,0,0,0,0
2003,충남,2653,758,741,17,546,500,46,0,0,0,0,0,1349,0,0,53,628,43,437,188,0,0,0,0,0,0,0
2004,충남,2084,449,441,8,543,510,33,0,0,0,0,0,1092,0,0,59,521,31,324,157,0,0,0,0,0,0,0
2005,충남,2119,525,524,1,550,495,55,0,0,0,0,0,1044,0,0,65,349,31,330,269,0,0,0,0,0,0,0
2006,충남,2383,552,529,23,552,521,31,0,0,0,0,0,1279,0,0,84,481,30,414,270,0,0,0,0,0,0,0
2007,충남,2481,536,508,28,610,552,58,0,0,0,0,0,1335,0,0,117,435,20,505,258,0,0,0,0,0,0,0
2008,충남,2464,374,359,15,556,524,32,0,0,0,0,0,1534,0,0,86,569,26,572,281,0,0,0,0,0,0,0
2009,충남,2200,254,242,12,461,437,24,0,0,0,0,0,1485,0,0,83,447,24,521,410,0,0,0,0,0,0,0
2010,충남,2652,403,305,98,620,561,59,0,0,0,0,0,1629,0,0,105,662,35,338,489,0,0,0,0,0,0,0
2011,충남,2695,422,279,143,656,582,74,0,0,0,0,0,1617,0,0,88,660,12,220,637,0,0,0,0,0,0,0
2012,충남,2436,407,229,178,566,508,58,0,0,0,0,0,1463,23,3,0,0,0,0,0,38,190,547,131,475,56,0
2013,충남,2143,371,159,212,490,424,66,0,0,0,0,0,1282,14,0,0,0,0,0,0,45,99,617,118,297,72,20
2014,충남,1745,349,167,182,384,319,65,0,0,0,0,0,1012,16,1,0,0,0,0,0,44,51,334,115,408,37,6
2015,충남,1723,363,162,201,367,307,60,0,0,0,0,0,993,10,0,0,0,0,0,0,33,33,282,110,438,86,1
2016,충남,1734,403,154,249,267,220,47,0,0,0,0,0,1064,8,2,0,0,0,0,0,35,25,322,122,498,51,1
2017,충남,1809,492,191,301,271,215,56,0,0,0,0,0,1046,3,0,0,0,0,0,0,30,13,263,86,593,57,1
2018,충남,1851,464,178,286,315,248,67,0,0,0,0,0,1072,2,0,0,0,0,0,0,49,18,265,99,585,54,0
2019,충남,2006,535,194,341,378,271,107,0,0,0,0,0,1093,5,0,0,0,0,0,0,38,7,280,108,644,11,0
1999,전북,3366,408,408,0,620,0,0,25,245,59,148,143,2338,0,0,121,788,98,1072,259,0,0,0,0,0,0,0
2000,전북,3411,422,422,0,645,0,0,37,249,49,154,156,2344,0,0,101,724,108,1241,170,0,0,0,0,0,0,0
2001,전북,3115,476,476,0,538,0,0,34,192,12,166,134,2101,0,0,163,576,77,1065,220,0,0,0,0,0,0,0
2002,전북,2733,576,576,0,450,0,0,44,91,60,105,150,1707,0,0,69,391,246,789,212,0,0,0,0,0,0,0
2003,전북,2809,943,940,3,441,379,62,0,0,0,0,0,1425,0,0,43,447,36,562,337,0,0,0,0,0,0,0
2004,전북,2106,464,461,3,440,412,28,0,0,0,0,0,1202,0,0,49,414,66,419,254,0,0,0,0,0,0,0
2005,전북,1976,416,392,24,415,394,21,0,0,0,0,0,1145,0,0,61,395,30,452,207,0,0,0,0,0,0,0
2006,전북,2407,513,511,2,465,459,6,0,0,0,0,0,1429,0,0,58,399,36,570,366,0,0,0,0,0,0,0
2007,전북,2414,455,446,9,462,422,40,0,0,0,0,0,1497,0,0,64,403,52,713,265,0,0,0,0,0,0,0
2008,전북,2184,362,353,9,498,475,23,0,0,0,0,0,1324,0,0,76,431,4,592,221,0,0,0,0,0,0,0
2009,전북,2138,308,298,10,448,442,6,0,0,0,0,0,1382,0,0,67,470,10,507,328,0,0,0,0,0,0,0
2010,전북,2394,365,313,52,550,510,40,0,0,0,0,0,1479,0,0,87,653,26,235,478,0,0,0,0,0,0,0
2011,전북,2312,429,317,112,494,461,33,0,0,0,0,0,1389,0,0,57,698,15,212,407,0,0,0,0,0,0,0
2012,전북,2009,342,266,76,453,421,32,0,0,0,0,0,1214,20,1,0,0,0,0,0,42,134,645,97,242,33,0
2013,전북,1827,297,178,119,382,351,31,0,0,0,0,0,1148,2,1,0,0,0,0,0,28,138,675,97,162,21,24
2014,전북,1537,282,181,101,308,290,18,0,0,0,0,0,947,4,0,0,0,0,0,0,27,34,484,98,255,32,13
2015,전북,1381,257,153,104,274,257,17,0,0,0,0,0,850,4,0,0,0,0,0,0,27,19,367,104,284,23,22
2016,전북,1341,243,105,138,244,207,37,0,0,0,0,0,854,0,3,0,0,0,0,0,28,30,330,86,344,24,9
2017,전북,1355,264,129,135,240,209,31,0,0,0,0,0,851,7,3,0,0,0,0,0,20,16,320,70,384,21,10
2018,전북,1423,297,153,144,217,193,24,0,0,0,0,0,909,1,4,0,0,0,0,0,23,10,294,77,465,29,6
2019,전북,1307,219,105,114,206,176,30,0,0,0,0,0,882,7,5,0,0,0,0,0,27,6,324,57,441,11,4
1999,전남,3470,410,410,0,546,0,0,36,127,85,153,145,2514,0,0,109,900,155,1187,163,0,0,0,0,0,0,0
2000,전남,3473,363,363,0,566,0,0,24,212,51,146,133,2544,0,0,105,696,132,1396,215,0,0,0,0,0,0,0
2001,전남,3094,395,395,0,450,0,0,34,147,23,135,111,2249,0,0,87,734,49,1177,202,0,0,0,0,0,0,0
2002,전남,2540,474,474,0,392,0,0,33,63,84,83,129,1674,0,0,68,335,257,926,88,0,0,0,0,0,0,0
2003,전남,2907,1130,1120,10,476,402,74,0,0,0,0,0,1301,0,0,55,471,57,519,199,0,0,0,0,0,0,0
2004,전남,1927,379,367,12,422,391,31,0,0,0,0,0,1126,0,0,43,328,33,479,243,0,0,0,0,0,0,0
2005,전남,1832,346,342,4,409,394,15,0,0,0,0,0,1077,0,0,58,311,40,473,195,0,0,0,0,0,0,0
2006,전남,2088,379,378,1,443,434,9,0,0,0,0,0,1266,0,0,72,392,22,470,310,0,0,0,0,0,0,0
2007,전남,2395,458,446,12,488,466,22,0,0,0,0,0,1449,0,0,98,349,24,648,330,0,0,0,0,0,0,0
2008,전남,2467,363,345,18,524,511,13,0,0,0,0,0,1580,0,0,71,420,11,826,252,0,0,0,0,0,0,0
2009,전남,2225,243,228,15,492,474,18,0,0,0,0,0,1490,0,0,62,476,44,649,259,0,0,0,0,0,0,0
2010,전남,2187,240,199,41,505,474,31,0,0,0,0,0,1442,0,0,85,607,65,310,375,0,0,0,0,0,0,0
2011,전남,2226,300,233,67,440,411,29,0,0,0,0,0,1486,0,0,94,768,47,189,388,0,0,0,0,0,0,0
2012,전남,1932,230,158,72,373,339,34,0,0,0,0,0,1329,21,2,0,0,0,0,0,50,187,725,69,227,48,0
2013,전남,1733,204,144,60,340,310,30,0,0,0,0,0,1189,14,8,0,0,0,0,0,55,104,742,45,161,39,21
2014,전남,1532,206,163,43,288,271,17,0,0,0,0,0,1038,5,0,0,0,0,0,0,41,77,496,73,290,41,15
2015,전남,1296,197,131,66,216,201,15,0,0,0,0,0,883,9,3,0,0,0,0,0,41,52,435,78,233,25,7
2016,전남,1295,227,148,79,188,169,19,0,0,0,0,0,880,6,2,0,0,0,0,0,42,49,353,72,319,36,1
2017,전남,1385,289,161,128,193,171,22,0,0,0,0,0,903,2,0,0,0,0,0,0,49,28,360,53,387,23,1
2018,전남,1363,306,171,135,184,169,15,0,0,0,0,0,873,5,1,0,0,0,0,0,40,18,394,62,330,23,0
2019,전남,1302,307,156,151,199,177,22,0,0,0,0,0,796,4,0,0,0,0,0,0,58,6,364,55,287,22,0
1999,경북,3764,409,409,0,667,0,0,47,208,45,189,178,2688,0,0,116,1259,134,1010,169,0,0,0,0,0,0,0
2000,경북,3597,340,340,0,574,0,0,39,158,48,154,175,2683,0,0,150,1155,140,1020,218,0,0,0,0,0,0,0
2001,경북,3725,428,428,0,627,0,0,43,183,24,146,231,2670,0,0,129,1077,136,1019,309,0,0,0,0,0,0,0
2002,경북,3170,683,683,0,495,0,0,42,89,50,116,198,1992,0,0,95,819,115,750,213,0,0,0,0,0,0,0
2003,경북,2907,889,823,66,445,408,37,0,0,0,0,0,1573,0,0,91,571,30,696,185,0,0,0,0,0,0,0
2004,경북,2055,436,435,1,416,393,23,0,0,0,0,0,1203,0,0,79,547,25,445,107,0,0,0,0,0,0,0
2005,경북,2014,430,400,30,428,420,8,0,0,0,0,0,1156,0,0,96,403,11,460,186,0,0,0,0,0,0,0
2006,경북,2151,372,369,3,501,484,17,0,0,0,0,0,1278,0,0,92,483,12,495,196,0,0,0,0,0,0,0
2007,경북,2405,410,405,5,492,475,17,0,0,0,0,0,1503,0,0,112,603,20,531,237,0,0,0,0,0,0,0
2008,경북,2399,348,345,3,562,555,7,0,0,0,0,0,1489,0,0,90,590,16,643,150,0,0,0,0,0,0,0
2009,경북,2259,218,203,15,446,431,15,0,0,0,0,0,1595,0,0,104,681,23,529,258,0,0,0,0,0,0,0
2010,경북,2667,402,343,59,568,519,49,0,0,0,0,0,1697,0,0,91,865,8,351,382,0,0,0,0,0,0,0
2011,경북,2658,446,351,95,486,440,46,0,0,0,0,0,1726,0,0,107,874,5,282,458,0,0,0,0,0,0,0
2012,경북,2358,321,205,116,492,464,28,0,0,0,0,0,1545,4,0,0,0,0,0,0,54,193,941,64,250,39,0
2013,경북,2091,331,188,143,424,393,31,0,0,0,0,0,1336,3,0,0,0,0,0,0,41,124,846,67,215,30,10
2014,경북,1778,265,145,120,364,320,44,0,0,0,0,0,1149,6,0,0,0,0,0,0,46,60,598,76,318,37,8
2015,경북,1616,332,143,189,284,247,37,0,0,0,0,0,1000,5,0,0,0,0,0,0,41,56,469,72,304,38,15
2016,경북,1711,324,133,191,261,218,43,0,0,0,0,0,1126,9,2,0,0,0,0,0,37,33,496,71,425,49,4
2017,경북,1668,331,118,213,253,203,50,0,0,0,0,0,1084,6,1,0,0,0,0,0,45,33,413,80,468,30,8
2018,경북,1830,412,138,274,299,246,53,0,0,0,0,0,1119,4,0,0,0,0,0,0,45,32,413,68,517,38,2
2019,경북,1845,436,126,310,299,223,76,0,0,0,0,0,1110,2,0,0,0,0,0,0,25,20,414,49,556,36,8
1999,경남,4335,496,496,0,952,0,0,60,323,86,258,225,2887,0,0,173,1085,182,1191,256,0,0,0,0,0,0,0
2000,경남,4783,760,760,0,968,0,0,56,336,85,238,253,3055,0,0,174,1316,34,1287,244,0,0,0,0,0,0,0
2001,경남,4949,1198,1198,0,880,0,0,63,310,34,212,261,2871,0,0,173,1040,86,1279,293,0,0,0,0,0,0,0
2002,경남,4097,936,936,0,654,0,0,55,174,74,119,232,2507,0,0,124,895,212,1015,261,0,0,0,0,0,0,0
2003,경남,4522,2104,2036,68,656,566,90,0,0,0,0,0,1762,0,0,102,757,52,614,237,0,0,0,0,0,0,0
2004,경남,2840,712,657,55,603,549,54,0,0,0,0,0,1525,0,0,106,588,89,447,295,0,0,0,0,0,0,0
2005,경남,2787,679,662,17,695,647,48,0,0,0,0,0,1413,0,0,101,510,16,481,305,0,0,0,0,0,0,0
2006,경남,3279,1046,1022,24,741,692,49,0,0,0,0,0,1492,0,0,120,568,27,417,360,0,0,0,0,0,0,0
2007,경남,3369,859,827,32,777,704,73,0,0,0,0,0,1733,0,0,129,621,81,554,348,0,0,0,0,0,0,0
2008,경남,3291,592,576,16,748,709,39,0,0,0,0,0,1951,0,0,123,794,77,613,344,0,0,0,0,0,0,0
2009,경남,3177,368,343,25,753,691,62,0,0,0,0,0,2056,0,0,139,845,28,644,400,0,0,0,0,0,0,0
2010,경남,3715,569,373,196,898,791,107,0,0,0,0,0,2248,0,0,149,1005,13,410,671,0,0,0,0,0,0,0
2011,경남,3787,646,366,280,810,710,100,0,0,0,0,0,2331,0,0,119,1063,27,358,764,0,0,0,0,0,0,0
2012,경남,3389,564,260,304,736,649,87,0,0,0,0,0,2089,30,0,0,0,0,0,0,92,242,977,175,519,54,0
2013,경남,2898,567,264,303,651,560,91,0,0,0,0,0,1680,25,0,0,0,0,0,0,58,116,835,153,431,47,15
2014,경남,2379,487,209,278,476,397,79,0,0,0,0,0,1416,4,0,0,0,0,0,0,67,58,508,143,568,66,2
2015,경남,2246,491,190,301,399,320,79,0,0,0,0,0,1356,7,0,0,0,0,0,0,33,37,418,160,612,85,4
2016,경남,2263,440,175,265,342,269,73,0,0,0,0,0,1481,5,0,0,0,0,0,0,48,20,390,153,786,77,2
2017,경남,2361,537,211,326,358,272,86,0,0,0,0,0,1466,9,0,0,0,0,0,0,45,7,398,118,826,62,1
2018,경남,2305,581,238,343,374,292,82,0,0,0,0,0,1350,6,1,0,0,0,0,0,47,10,382,146,710,40,8
2019,경남,2299,588,223,365,410,322,88,0,0,0,0,0,1301,4,0,0,0,0,0,0,48,11,426,95,684,33,0
1999,제주,797,84,84,0,143,0,0,12,63,12,30,26,570,0,0,41,241,34,171,83,0,0,0,0,0,0,0
2000,제주,777,101,101,0,148,0,0,11,52,11,34,40,528,0,0,28,107,62,154,177,0,0,0,0,0,0,0
2001,제주,842,165,165,0,138,0,0,8,55,6,19,50,539,0,0,41,153,62,99,184,0,0,0,0,0,0,0
2002,제주,800,198,198,0,80,0,0,4,24,5,4,43,522,0,0,31,167,59,142,123,0,0,0,0,0,0,0
2003,제주,910,378,377,1,140,116,24,0,0,0,0,0,392,0,0,27,99,9,106,151,0,0,0,0,0,0,0
2004,제주,531,90,84,6,123,99,24,0,0,0,0,0,318,0,0,23,123,5,80,87,0,0,0,0,0,0,0
2005,제주,491,81,76,5,99,87,12,0,0,0,0,0,311,0,0,16,121,4,84,86,0,0,0,0,0,0,0
2006,제주,591,117,116,1,132,117,15,0,0,0,0,0,342,0,0,23,130,14,69,106,0,0,0,0,0,0,0
2007,제주,657,87,82,5,177,164,13,0,0,0,0,0,393,0,0,21,109,8,98,157,0,0,0,0,0,0,0
2008,제주,734,90,86,4,182,174,8,0,0,0,0,0,462,0,0,18,158,22,132,132,0,0,0,0,0,0,0
2009,제주,654,83,81,2,135,128,7,0,0,0,0,0,436,0,0,33,189,12,61,141,0,0,0,0,0,0,0
2010,제주,767,132,95,37,195,181,14,0,0,0,0,0,440,0,0,26,118,5,40,251,0,0,0,0,0,0,0
2011,제주,676,128,67,61,163,150,13,0,0,0,0,0,385,0,0,27,89,0,16,253,0,0,0,0,0,0,0
2012,제주,608,95,62,33,126,123,3,0,0,0,0,0,387,6,0,0,0,0,0,0,14,21,91,35,206,14,0
2013,제주,587,86,42,44,132,121,11,0,0,0,0,0,369,3,0,0,0,0,0,0,12,9,156,39,138,9,3
2014,제주,483,109,60,49,120,103,17,0,0,0,0,0,254,1,0,0,0,0,0,0,6,4,74,27,132,10,0
2015,제주,442,105,53,52,125,105,20,0,0,0,0,0,212,1,0,0,0,0,0,0,8,3,42,34,116,8,0
2016,제주,438,132,58,74,97,80,17,0,0,0,0,0,209,0,0,0,0,0,0,0,5,3,16,57,122,6,0
2017,제주,471,162,66,96,99,83,16,0,0,0,0,0,210,0,0,0,0,0,0,0,12,0,27,34,127,10,0
2018,제주,523,180,71,109,112,87,25,0,0,0,0,0,231,1,0,0,0,0,0,0,4,4,28,37,152,5,0
2019,제주,513,156,73,83,120,97,23,0,0,0,0,0,237,1,0,0,0,0,0,0,8,1,32,30,161,4,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
통계 도움말,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. 조사 기준일: 학년도 기준 (해당 연도 3월 ~ 차년도 2월),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. 출처: 한국교육개발원 교육통계서비스(kess.kedi.re.kr),,,,,,,,,,,,,,,,,,,,,,,,,,,,
