"","year","location","illness_2011","maladjustment_2011","behaviour_2011","housework_2011","etc_2011","illness_2012","housework_2012","maladjustment_2012","abroad_2012","etc_2012","dropout","expelled","sum","num_of_highschool_students","interrupted_ratio"
"280",2018,"전북",0,508,52,325,24,210819,97606,50859,62354,0,0,45568,194942,62354,3.12637521249639
"281",2019,"전북",0,541,48,291,2,203148,97731,48648,56769,0,0,41946,189207,56769,3.33292818263489
"282",1999,"전남",1872,0,0,0,0,355024,162154,84268,108602,59640,48962,0,355024,108602,3.2690374026261
"283",2000,"전남",1824,0,0,0,0,341147,163677,79535,97935,56153,41782,0,341147,97935,3.48340225659876
"284",2001,"전남",1507,0,0,0,0,325666,164231,74918,86517,52011,34506,0,325666,86517,3.76418507345377
"285",2002,"전남",1113,0,0,0,0,314897,164722,72478,77697,47918,29779,0,314897,77697,4.05288492477187
"286",2003,"전남",909,0,0,0,0,308210,164606,70707,72897,45137,27760,0,308210,72897,4.22802035749071
"287",2004,"전남",749,0,0,0,0,301834,161187,71739,68908,43410,25498,0,301834,68908,4.38024612526847
"288",2005,"전남",689,0,0,0,0,298101,156686,74105,67310,43440,23870,0,298101,67310,4.42877729906403
"289",2006,"전남",824,0,0,0,0,294997,152538,76075,66384,43228,23156,0,294997,66384,4.44379669799952
"290",2007,"전남",932,0,0,0,0,292420,148376,76055,67989,44607,23382,0,292420,67989,4.30098986600774
"291",2008,"전남",1012,0,0,0,0,287148,141424,75460,70264,46695,23569,0,287148,70264,4.08670158260276
"292",2009,"전남",961,0,0,0,0,279890,132503,75119,72268,48709,23559,0,279890,72268,3.87294514861349
"293",2010,"전남",0,601,27,789,25,270656,123912,74251,72493,49220,23273,0,272098,72493,3.7534382630047
"294",2011,"전남",0,543,29,864,50,259737,115550,71837,72350,0,0,49765,238638,72350,3.29838286109191
"295",2012,"전남",0,499,71,715,44,248886,107133,69647,72106,0,0,46561,224670,72106,3.11582947327546
"296",2013,"전남",0,463,73,595,58,238884,99206,67888,71790,0,0,44494,212777,71790,2.96388076333751
"297",2014,"전남",0,457,37,489,55,230258,95720,64300,70238,0,0,42419,203477,70238,2.8969646060537
"298",2015,"전남",0,357,38,434,54,221581,94368,58806,68407,0,0,41564,195621,68407,2.85966348473109
"299",2016,"전남",0,385,22,445,28,213135,92981,53181,66973,0,0,40758,187800,66973,2.80411509115614
"300",2017,"전남",0,357,45,457,44,206506,93233,49642,63631,0,0,38732,182510,63631,2.86825603872326
"301",2018,"전남",0,356,36,427,54,199653,94134,47270,58249,0,0,35342,177619,58249,3.04930556747755
"302",2019,"전남",0,313,40,410,33,193370,94952,45663,52755,0,0,31870,173281,52755,3.28463652734338
"303",1999,"경북",1740,0,0,0,0,456611,217581,105317,133713,82254,51459,0,456611,133713,3.41485868988057
"304",2000,"경북",1772,0,0,0,0,440850,217710,102583,120557,75778,44779,0,440850,120557,3.65677646258616
"305",2001,"경북",1719,0,0,0,0,426299,217985,99548,108766,69069,39697,0,426299,108766,3.91941415515878
"306",2002,"경북",1237,0,0,0,0,416462,217903,98199,100360,65401,34959,0,416462,100360,4.14968114786768
"307",2003,"경북",975,0,0,0,0,411315,216719,96960,97636,65438,32198,0,411315,97636,4.21273915359089
"308",2004,"경북",745,0,0,0,0,406320,212588,98613,95119,64843,30276,0,406320,95119,4.2717017630547
"309",2005,"경북",680,0,0,0,0,401198,206141,100807,94250,64495,29755,0,401198,94250,4.25674270557029
"310",2006,"경북",752,0,0,0,0,397826,201415,102754,93657,64789,28868,0,397826,93657,4.24769104284784
"311",2007,"경북",888,0,0,0,0,393014,196170,101636,95208,65845,29363,0,393014,95208,4.12795143265272
"312",2008,"경북",861,0,0,0,0,384298,187309,100182,96807,67237,29570,0,384298,96807,3.96973359364509
"313",2009,"경북",944,0,0,0,0,372590,175577,98685,98328,68317,30011,0,372590,98328,3.78925636644699
"314",2010,"경북",0,880,59,709,49,359488,164230,97491,97767,68826,28941,0,361185,97767,3.69434471754273
"315",2011,"경북",0,937,55,662,72,345747,155146,93999,96602,0,0,70192,321063,96602,3.32356472950871
"316",2012,"경북",0,845,67,583,50,332449,144918,91614,95917,0,0,67603,305680,95917,3.18692202633527
"317",2013,"경북",0,761,36,496,43,319383,135237,89128,95018,0,0,65963,291664,95018,3.06956576648635
"318",2014,"경북",0,644,42,417,46,308753,131307,85118,92328,0,0,63451,281025,92328,3.04376787106836
"319",2015,"경북",0,517,41,395,47,297562,129743,77581,90238,0,0,61443,269767,90238,2.98950552982114
"320",2016,"경북",0,561,50,452,63,286749,127825,70468,88456,0,0,59972,259391,88456,2.93242968255404
"321",2017,"경북",0,561,53,427,43,278474,127642,65906,84926,0,0,57666,252298,84926,2.97079810658691
"322",2018,"경북",0,525,50,489,55,270775,129290,63540,77945,0,0,52496,246445,77945,3.16178074283148
"323",2019,"경북",0,521,31,513,45,264039,131374,61393,71272,0,0,47473,241350,71272,3.38632281962061
"324",1999,"경남",2013,0,0,0,0,535645,262965,126069,146611,90314,56297,0,535645,146611,3.6535116737489
"325",2000,"경남",2021,0,0,0,0,528642,269119,122943,136580,86536,50044,0,528642,136580,3.87056670083468
"326",2001,"경남",1734,0,0,0,0,519979,273581,120808,125590,82181,43409,0,519979,125590,4.14028983199299
"327",2002,"경남",1538,0,0,0,0,516783,278337,120998,117448,80206,37242,0,516783,117448,4.40010046999523
"328",2003,"경남",1076,0,0,0,0,519966,283632,121832,114502,80700,33802,0,519966,114502,4.54110845225411
"329",2004,"경남",849,0,0,0,0,520368,280491,127439,112438,80836,31602,0,520368,112438,4.6280438997492
"330",2005,"경남",723,0,0,0,0,521379,275274,132949,113156,82728,30428,0,521379,113156,4.60761249955813
"331",2006,"경남",724,0,0,0,0,522888,270349,138384,114155,84764,29391,0,522888,114155,4.58050895711971
"332",2007,"경남",791,0,0,0,0,522836,264776,138629,119431,89660,29771,0,522836,119431,4.37772437641818
"333",2008,"경남",912,0,0,0,0,517056,254368,138290,124398,94647,29751,0,517056,124398,4.15646553803116
"334",2009,"경남",941,0,0,0,0,507083,240129,137403,129551,99379,30172,0,507083,129551,3.91415735887797
"335",2010,"경남",0,1425,83,740,0,493422,227813,135600,130009,100024,29985,0,495670,130009,3.81258220584729
"336",2011,"경남",0,1395,59,758,119,477086,215383,131677,130026,0,0,107455,456846,130026,3.51349730053989
"337",2012,"경남",0,1273,44,625,147,459039,202320,127510,129209,0,0,101506,433425,129209,3.35444899349117
"338",2013,"경남",0,1053,16,486,125,442189,190166,124566,127457,0,0,97367,413779,127457,3.24642036137678
"339",2014,"경남",0,884,36,367,129,429226,186973,118400,123853,0,0,95071,401860,123853,3.24465293533463
"340",2015,"경남",0,880,34,338,104,415891,187075,108732,120084,0,0,92447,389610,120084,3.24447886479464
"341",2016,"경남",0,992,25,341,123,402301,185325,99401,117575,0,0,91325,377532,117575,3.21098873059749
"342",2017,"경남",0,902,35,417,112,392080,186619,93843,111618,0,0,86618,368546,111618,3.30185095593901
"343",2018,"경남",0,859,28,375,88,384328,191016,90851,102461,0,0,79126,362343,102461,3.53639921531119
"344",2019,"경남",0,773,40,411,77,377123,194606,88668,93849,0,0,72160,356735,93849,3.80115930910292
"345",1999,"제주",453,0,0,0,0,91767,44510,21274,25983,15613,10370,0,91767,25983,3.5318092599007
"346",2000,"제주",355,0,0,0,0,91180,46778,20537,23865,14534,9331,0,91180,23865,3.8206578671695
"347",2001,"제주",403,0,0,0,0,90318,48850,19963,21505,13445,8060,0,90318,21505,4.19986049755871
"348",2002,"제주",404,0,0,0,0,91177,50770,20178,20229,12760,7469,0,91177,20229,4.50724207820456
"349",2003,"제주",308,0,0,0,0,92278,52144,20719,19415,12356,7059,0,92278,19415,4.7529229976822
"350",2004,"제주",234,0,0,0,0,93446,52359,22207,18880,12006,6874,0,93446,18880,4.94947033898305
"351",2005,"제주",232,0,0,0,0,94562,51671,23856,19035,12171,6864,0,94562,19035,4.96779616495929
"352",2006,"제주",261,0,0,0,0,95558,50791,25252,19515,12479,7036,0,95558,19515,4.89664360748142
"353",2007,"제주",306,0,0,0,0,96650,50047,25667,20936,13485,7451,0,96650,20936,4.61645013374092
"354",2008,"제주",371,0,0,0,0,96303,48291,25708,22304,14488,7816,0,96303,22304,4.31774569583931
"355",2009,"제주",318,0,0,0,0,94836,46028,25372,23436,15349,8087,0,94836,23436,4.04659498207885
"356",2010,"제주",0,250,5,185,0,93046,44035,25204,23807,15754,8053,0,93486,23807,3.92682824379384
"357",2011,"제주",0,234,7,138,6,90568,42143,24556,23869,0,0,18838,85922,23869,3.59973186978927
"358",2012,"제주",0,259,3,119,6,88028,40172,24059,23797,0,0,17964,82582,23797,3.47026936168425
"359",2013,"제주",0,267,2,94,6,85835,38235,23887,23713,0,0,17841,80332,23713,3.38767764517353
"360",2014,"제주",0,194,4,52,4,84516,37915,23380,23221,0,0,18063,79612,23221,3.42844838723569
"361",2015,"제주",0,148,6,58,0,83199,38164,22051,22984,0,0,17916,78343,22984,3.40858858336234
"362",2016,"제주",0,157,8,44,0,81837,38272,20629,22936,0,0,17929,77039,22936,3.35886815486571
"363",2017,"제주",0,166,6,38,0,80926,38901,19603,22422,0,0,18217,76931,22422,3.43104986174293
"364",2018,"제주",0,178,6,47,0,80490,40096,19306,21088,0,0,17089,76722,21088,3.63818285280728
"365",2019,"제주",0,168,8,61,0,79674,41068,18899,19707,0,0,16027,76231,19707,3.86821941442127
"366",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"367",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"368",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"369",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
