학년도,시도,학업중단율,학업중단율,학업중단율,학업중단율,학업중단율,학업중단율,학업중단율,학업중단율,학업중단율,학업중단율,학업중단자,학업중단자,학업중단자,학업중단자,학업중단자,학업중단자,학업중단자,학업중단자,학업중단자,학업중단자,학생수,학생수,학생수,학생수,학생수,학생수,학생수,학생수,학생수,학생수
학년도,시도,계,초등학교,중학교,고등학교,고등학교,고등학교,고등학교,고등학교,고등학교,고등학교,계,초등학교,중학교,고등학교,고등학교,고등학교,고등학교,고등학교,고등학교,고등학교,계,초등학교,중학교,고등학교,고등학교,고등학교,고등학교,고등학교,고등학교,고등학교
학년도,시도,계,초등학교,중학교,계,인문계고,전문계고,일반고,특목고,특성화고,자율고,계,초등학교,중학교,계,일반계고,전문계고,일반고,특목고,특성화고,자율고,계,초등학교,중학교,계,인문계고,전문계고,일반고,특목고,특성화고,자율고
2010,광주,0.9,0.4,0.7,2.1,0,0,0,0,0,0,2335,420,483,1432,0,0,840,61,454,77,253929,115827,70352,67750,52706,15044,0,0,0,0
2011,광주,0.9,0.4,0.7,1.9,0,0,1.7,3.7,3,1,2173,387,484,1302,0,0,846,50,350,56,246570,109760,68761,68049,0,0,49427,1368,11590,5664
2012,광주,0.8,0.3,0.6,1.7,0,0,1.5,2.1,2.9,1.1,1918,332,433,1153,0,0,743,25,328,57,237425,102912,66937,67576,0,0,49742,1212,11429,5193
2013,광주,0.8,0.3,0.5,1.6,0,0,1.4,1.6,2.6,1.2,1729,310,349,1070,0,0,713,19,289,49,228553,96055,65124,67374,0,0,50868,1167,11156,4183
2014,광주,0.7,0.2,0.5,1.4,0,0,1.3,2.1,1.8,0.7,1437,232,297,908,0,0,667,25,186,30,220481,93163,61682,65636,0,0,49768,1175,10507,4186
2015,광주,0.7,0.3,0.5,1.3,0,0,1.2,1.1,2,1,1386,292,274,820,0,0,578,13,195,34,212362,91862,56563,63937,0,0,49446,1191,9967,3333
2016,광주,0.7,0.4,0.5,1.3,0,0,1.2,3.1,1.6,1.1,1449,398,235,816,0,0,590,40,148,38,202963,89095,51511,62357,0,0,48373,1271,9354,3359
2017,광주,0.7,0.4,0.5,1.4,0,0,1.3,0.7,2.1,0.6,1405,346,239,820,0,0,614,12,174,20,195065,88189,47900,58976,0,0,45728,1671,8290,3287
2018,광주,0.7,0.5,0.5,1.4,0,0,1.2,1,2.7,0.8,1390,407,214,769,0,0,526,15,208,20,187950,88622,45437,53891,0,0,42365,1550,7621,2355
2019,광주,0.8,0.5,0.4,1.5,0,0,1.1,0.6,4.1,0.8,1388,458,189,741,0,0,425,9,290,17,181106,88990,43068,49048,0,0,38396,1435,7037,2180
1999,대전,1,0.3,1,2.1,1.1,4.1,0,0,0,0,2454,370,580,1504,550,954,0,0,0,0,255503,122977,60832,71694,48254,23440,0,0,0,0
2000,대전,1.2,0.4,1.1,2.6,1.5,5.1,0,0,0,0,2956,521,684,1751,710,1041,0,0,0,0,252200,125748,60020,66432,46093,20339,0,0,0,0
2001,대전,1.1,0.4,1.2,2.7,1.8,4.8,0,0,0,0,2866,517,708,1641,771,870,0,0,0,0,249986,128927,59423,61636,43567,18069,0,0,0,0
2002,대전,1,0.4,1,2.4,1.8,3.9,0,0,0,0,2535,570,581,1384,759,625,0,0,0,0,249550,130998,59748,58804,42761,16043,0,0,0,0
2003,대전,0.9,0.6,0.7,1.8,1.1,4,0,0,0,0,2245,791,401,1053,457,596,0,0,0,0,250960,132735,60236,57989,43105,14884,0,0,0,0
2004,대전,0.8,0.5,0.8,1.4,0.9,2.9,0,0,0,0,1965,645,525,795,389,406,0,0,0,0,252560,131906,63037,57617,43665,13952,0,0,0,0
2005,대전,0.7,0.5,0.7,1.4,1,2.5,0,0,0,0,1863,607,448,808,459,349,0,0,0,0,253631,129952,65474,58205,44510,13695,0,0,0,0
2006,대전,1,0.7,0.8,1.7,1.4,2.6,0,0,0,0,2413,906,528,979,635,344,0,0,0,0,253761,127601,67542,58618,45426,13192,0,0,0,0
2007,대전,1,0.6,1,2,1.5,3.9,0,0,0,0,2582,715,651,1216,712,504,0,0,0,0,254037,125583,67626,60828,48032,12796,0,0,0,0
2008,대전,0.9,0.5,0.9,1.9,1.2,4.8,0,0,0,0,2347,561,576,1210,624,586,0,0,0,0,251350,120881,67431,63038,50889,12149,0,0,0,0
2009,대전,0.9,0.3,0.7,1.9,1.2,5.1,0,0,0,0,2105,372,499,1234,638,596,0,0,0,0,246477,114621,66925,64931,53201,11730,0,0,0,0
2010,대전,1.2,0.6,0.9,2.5,0,0,0,0,0,0,2845,662,586,1597,0,0,697,86,746,68,239711,109013,65904,64794,53455,11339,0,0,0,0
2011,대전,1.2,0.7,0.9,2.5,0,0,1.5,1.9,6.6,2.7,2853,688,590,1575,0,0,690,54,675,156,231775,103852,63791,64132,0,0,45192,2790,10276,5874
2012,대전,1.1,0.6,1,2.1,0,0,1.5,1.8,4.8,1.4,2554,615,633,1306,0,0,633,46,495,132,223759,98665,61598,63496,0,0,41324,2508,10358,9306
2013,대전,1.1,0.8,0.9,1.6,0,0,1.2,1.6,3.8,0.8,2279,746,538,995,0,0,482,39,392,82,216207,93398,59997,62812,0,0,40038,2481,10429,9864
2014,대전,0.9,0.7,0.8,1.3,0,0,1,3,2.8,0.7,1931,670,441,820,0,0,382,89,286,63,209373,91599,56765,61009,0,0,38848,3010,10272,8879
2015,대전,0.8,0.6,0.6,1.3,0,0,0.9,1,3.5,0.8,1580,529,305,746,0,0,326,31,324,65,200277,89464,52215,58598,0,0,37402,3203,9363,8630
2016,대전,0.9,0.7,0.7,1.3,0,0,0.8,1.2,3.6,0.9,1657,608,322,727,0,0,293,37,323,74,190672,85939,47646,57087,0,0,36968,3052,9098,7969
2017,대전,0.9,0.7,0.6,1.4,0,0,0.9,1.5,3.5,1,1592,555,288,749,0,0,322,46,300,81,182971,84240,44961,53770,0,0,34238,3035,8570,7927
2018,대전,0.9,0.7,0.7,1.6,0,0,1.1,1.9,3.6,1.2,1632,553,304,775,0,0,344,58,281,92,175460,83453,42675,49332,0,0,30905,3052,7815,7560
2019,대전,0.9,0.7,0.7,1.7,0,0,1.2,1.9,4.3,0.8,1597,575,275,747,0,0,339,56,291,61,168370,82743,40732,44895,0,0,27866,2973,6823,7233
1999,울산,0.8,0.2,0.7,2,1.1,3.7,0,0,0,0,1520,215,295,1010,345,665,0,0,0,0,198430,103341,45365,49724,31571,18153,0,0,0,0
2000,울산,0.9,0.3,0.7,2.3,1,4.6,0,0,0,0,1760,366,326,1068,313,755,0,0,0,0,198952,106554,45333,47065,30547,16518,0,0,0,0
2001,울산,0.9,0.2,0.7,2.6,1.2,5.4,0,0,0,0,1697,255,296,1146,344,802,0,0,0,0,199209,108886,45515,44808,29850,14958,0,0,0,0
2002,울산,0.7,0.3,0.6,1.9,1,3.9,0,0,0,0,1431,362,272,797,283,514,0,0,0,0,200552,110777,47075,42700,29625,13075,0,0,0,0
2003,울산,0.7,0.6,0.5,1.5,0.6,3.7,0,0,0,0,1470,616,230,624,172,452,0,0,0,0,202983,111909,48238,42836,30506,12330,0,0,0,0
2004,울산,0.5,0.4,0.4,1.1,0.4,2.8,0,0,0,0,1089,404,220,465,139,326,0,0,0,0,204449,110133,51200,43116,31632,11484,0,0,0,0
2005,울산,0.5,0.4,0.4,1.1,0.5,2.9,0,0,0,0,1109,381,240,488,154,334,0,0,0,0,205370,107058,53448,44864,33361,11503,0,0,0,0
2006,울산,0.7,0.5,0.5,1.5,0.8,3.7,0,0,0,0,1454,489,270,695,278,417,0,0,0,0,204765,103265,55657,45843,34642,11201,0,0,0,0
2007,울산,0.7,0.5,0.6,1.4,0.6,3.8,0,0,0,0,1506,495,353,658,239,419,0,0,0,0,203086,99281,55201,48604,37444,11160,0,0,0,0
2008,울산,0.8,0.4,0.6,1.6,0.7,5.1,0,0,0,0,1521,367,325,829,267,562,0,0,0,0,199573,94111,54737,50725,39631,11094,0,0,0,0
2009,울산,0.7,0.2,0.6,1.5,0.6,4.6,0,0,0,0,1268,180,320,768,260,508,0,0,0,0,193982,87693,53625,52664,41575,11089,0,0,0,0
2010,울산,0.9,0.4,0.8,1.8,0,0,0,0,0,0,1642,296,394,952,0,0,359,33,545,15,186315,81678,52213,52424,41560,10864,0,0,0,0
2011,울산,0.9,0.4,0.7,1.8,0,0,1,4.1,4.5,0.8,1588,321,351,916,0,0,390,57,449,20,178473,76596,49934,51943,0,0,38010,1374,10022,2537
2012,울산,0.8,0.4,0.7,1.6,0,0,1,2,4,0.8,1422,262,351,809,0,0,385,43,362,19,170293,71544,47785,50964,0,0,37460,2161,9001,2342
2013,울산,0.8,0.3,0.6,1.4,0,0,1,1.4,3.6,0.5,1236,230,294,712,0,0,363,27,309,13,162879,67156,45860,49863,0,0,37005,1935,8494,2429
2014,울산,0.6,0.3,0.5,1,0,0,0.7,1.7,2.3,0.8,922,223,203,496,0,0,243,30,202,21,156837,65810,43150,47877,0,0,34748,1773,8705,2651
2015,울산,0.5,0.3,0.5,0.8,0,0,0.6,0.9,1.8,0.3,758,219,184,355,0,0,185,23,138,9,151314,66134,39040,46140,0,0,32796,2659,7706,2979
2016,울산,0.5,0.3,0.4,0.9,0,0,0.7,0.5,2.2,0.7,772,216,149,407,0,0,207,12,167,21,145530,65629,35343,44558,0,0,31535,2499,7504,3020
2017,울산,0.5,0.4,0.4,0.9,0,0,0.7,1,2,0.5,751,244,131,376,0,0,194,23,145,14,140877,66016,32931,41930,0,0,29529,2207,7190,3004
2018,울산,0.6,0.4,0.4,1.1,0,0,0.8,0.9,2.5,0.9,802,241,140,421,0,0,218,20,165,18,136883,67290,31906,37687,0,0,27018,2171,6472,2026
2019,울산,0.6,0.4,0.4,1,0,0,0.7,0.6,2.3,0.7,735,271,139,325,0,0,169,13,130,13,133313,68512,30935,33866,0,0,24246,2163,5555,1902
2012,세종,0,0,0,0,0,0,0,0,0,0,101,3,22,76,0,0,38,0,32,6,,,,,,,,,,
2013,세종,0.9,0.6,0.9,1.6,0,0,1.3,1.9,2,2.3,131,40,35,56,0,0,29,2,15,10,14415,7090,3797,3528,0,0,2227,103,756,442
2014,세종,1.1,0.7,0.9,2,0,0,1.9,2,2.5,1.9,171,56,37,78,0,0,48,4,15,11,16084,8057,4156,3871,0,0,2485,203,610,573
2015,세종,1,0.8,0.8,1.8,0,0,1.9,1.5,1.1,1.8,242,103,48,91,0,0,69,6,5,11,24366,13353,5901,5112,0,0,3657,395,457,603
2016,세종,1,0.8,0.7,1.6,0,0,1.5,1,3.5,1.3,306,151,52,103,0,0,74,5,16,8,31817,17910,7444,6463,0,0,4924,486,453,600
2017,세종,1.2,1.1,0.8,1.7,0,0,1.7,0.9,3.6,1.3,430,230,71,129,0,0,101,5,15,8,37005,20764,8602,7639,0,0,6025,580,421,613
2018,세종,1.3,1.2,1,1.9,0,0,1.9,1.2,3.7,1.6,555,291,97,167,0,0,134,8,15,10,43509,24865,10070,8574,0,0,6896,659,401,618
2019,세종,1.5,1.5,1,2.4,0,0,2.2,0.9,11.3,1.8,748,408,114,226,0,0,167,7,41,11,48569,27892,11202,9475,0,0,7744,742,363,626
1999,경기,0.9,0.4,0.9,2.1,1.4,3.2,0,0,0,0,13624,3288,3101,7235,2978,4257,0,0,0,0,1551386,849914,349750,351722,217154,134568,0,0,0,0
2000,경기,1,0.4,1,2.5,1.6,3.9,0,0,0,0,15746,3591,3769,8386,3451,4935,0,0,0,0,1590252,889034,359220,341998,216132,125866,0,0,0,0
2001,경기,1.1,0.6,1.2,2.5,1.8,3.7,0,0,0,0,17689,5091,4245,8353,4001,4352,0,0,0,0,1626130,924142,367867,334121,216482,117639,0,0,0,0
2002,경기,0.9,0.5,0.9,2.1,1.6,3,0,0,0,0,15313,5049,3485,6779,3489,3290,0,0,0,0,1670955,956758,384591,329606,219082,110524,0,0,0,0
2003,경기,1,0.9,0.8,1.4,0.9,2.5,0,0,0,0,16931,8977,3097,4857,2084,2773,0,0,0,0,1726492,983887,402500,340105,230383,109722,0,0,0,0
2004,경기,0.8,0.5,0.8,1.3,0.8,2.6,0,0,0,0,13304,5097,3544,4663,1855,2808,0,0,0,0,1771486,986056,433314,352116,242160,109956,0,0,0,0
2005,경기,0.8,0.6,0.9,1.3,0.9,2.3,0,0,0,0,15065,6182,4057,4826,2232,2594,0,0,0,0,1812851,979630,463457,369764,257673,112091,0,0,0,0
2006,경기,1.1,0.9,1.1,1.7,1.1,3.1,0,0,0,0,20338,8442,5351,6545,3086,3459,0,0,0,0,1839165,966347,487357,385461,272722,112739,0,0,0,0
2007,경기,1.1,0.8,1.2,1.9,1.3,3.5,0,0,0,0,21272,7327,6045,7900,3938,3962,0,0,0,0,1853188,951908,489548,411732,296918,114814,0,0,0,0
2008,경기,1.1,0.7,1.2,2,1.4,3.6,0,0,0,0,20430,6116,5781,8533,4372,4161,0,0,0,0,1845424,920586,488203,436635,320890,115745,0,0,0,0
2009,경기,0.9,0.4,0.9,1.9,1.4,3.5,0,0,0,0,17059,3798,4373,8888,4876,4012,0,0,0,0,1821694,880141,484656,456897,341214,115683,0,0,0,0
2010,경기,1.2,0.7,1.1,2.2,0,0,0,0,0,0,21551,6101,5391,10059,0,0,6677,200,2998,184,1791766,848135,482170,461461,350929,110532,0,0,0,0
2011,경기,1.2,0.8,1.1,2,0,0,1.6,1.5,3.9,2.8,20341,6124,5042,9175,0,0,6132,206,2625,212,1750261,814927,472878,462456,0,0,373241,13759,67979,7477
2012,경기,1.2,0.7,1.1,2,0,0,1.7,1.1,3.7,1.5,19602,5627,4917,9058,0,0,6318,151,2422,167,1701253,775163,463600,462490,0,0,372602,13575,65290,11023
2013,경기,1.1,0.7,0.9,1.7,0,0,1.6,0.8,2.6,1.4,17587,5327,4317,7943,0,0,6029,110,1636,168,1658419,739619,458220,460580,0,0,372216,13316,62920,12128
2014,경기,1,0.7,0.8,1.5,0,0,1.4,0.9,2,1.1,15463,5045,3650,6768,0,0,5261,122,1242,143,1624893,732307,439888,452698,0,0,366220,12843,61166,12469
2015,경기,0.9,0.7,0.8,1.3,0,0,1.3,0.9,1.9,0.8,14143,5083,3175,5885,0,0,4571,110,1107,97,1587723,733359,409810,444554,0,0,361396,12494,58514,12150
2016,경기,0.9,0.7,0.8,1.4,0,0,1.4,0.9,2,0.8,14330,5104,2860,6366,0,0,5065,108,1097,96,1548781,727380,381082,440319,0,0,360835,12333,55415,11736
2017,경기,1,0.8,0.8,1.6,0,0,1.5,1,2.6,1,15576,5650,2974,6952,0,0,5360,119,1357,116,1523636,733941,366856,422839,0,0,346518,12276,52719,11326
2018,경기,1.1,0.9,0.9,1.8,0,0,1.6,1.3,3.1,1.4,16806,6528,3280,6998,0,0,5181,153,1515,149,1503945,752499,358438,393008,0,0,320852,12017,49227,10912
2019,경기,1.1,0.8,1,1.9,0,0,1.7,1.6,3.2,1.3,16773,6422,3432,6919,0,0,5127,186,1472,134,1486944,769744,353032,364168,0,0,296310,11844,45536,10478
1999,강원,1,0.3,0.9,2.3,1.1,3.3,0,0,0,0,2626,344,551,1731,389,1342,0,0,0,0,260785,121717,62844,76224,36067,40157,0,0,0,0
2000,강원,1.1,0.3,0.9,2.6,1.3,3.7,0,0,0,0,2733,372,569,1792,447,1345,0,0,0,0,252800,122613,61002,69185,33265,35920,0,0,0,0
2001,강원,1.1,0.4,0.9,2.5,1.5,3.6,0,0,0,0,2663,518,544,1601,461,1140,0,0,0,0,245157,123102,59026,63029,30976,32053,0,0,0,0
2002,강원,0.9,0.3,0.7,2.5,1.4,3.5,0,0,0,0,2201,349,403,1449,417,1032,0,0,0,0,240597,124112,57806,58679,29396,29283,0,0,0,0
2003,강원,0.9,0.6,0.7,1.8,1,2.6,0,0,0,0,2130,714,415,1001,277,724,0,0,0,0,237813,124305,56816,56692,28758,27934,0,0,0,0
2004,강원,0.7,0.4,0.6,1.7,0.9,2.4,0,0,0,0,1721,436,370,915,267,648,0,0,0,0,235186,122661,57523,55002,28294,26708,0,0,0,0
2005,강원,0.7,0.4,0.7,1.5,0.9,2.2,0,0,0,0,1730,491,406,833,267,566,0,0,0,0,233426,120102,58972,54352,28586,25766,0,0,0,0
2006,강원,0.8,0.4,0.8,1.6,1,2.4,0,0,0,0,1849,483,491,875,288,587,0,0,0,0,231092,117025,60318,53749,28903,24846,0,0,0,0
2007,강원,0.8,0.4,0.7,1.9,1,2.9,0,0,0,0,1906,427,445,1034,308,726,0,0,0,0,229311,114973,59834,54504,29849,24655,0,0,0,0
2008,강원,0.9,0.3,0.8,2.1,1.1,3.3,0,0,0,0,2038,376,497,1165,339,826,0,0,0,0,225411,110747,59168,55496,30638,24858,0,0,0,0
2009,강원,0.8,0.2,0.7,2,1.1,3.2,0,0,0,0,1780,244,394,1142,367,775,0,0,0,0,220768,105480,58605,56683,32476,24207,0,0,0,0
2010,강원,1,0.3,0.9,2.3,0,0,0,0,0,0,2104,314,497,1293,0,0,661,62,562,8,214916,99797,58408,56711,32945,23766,0,0,0,0
2011,강원,1,0.4,0.8,2.2,0,0,1.3,3.3,6.1,1.1,2029,362,448,1219,0,0,584,48,582,5,208283,94442,57321,56520,0,0,44978,1476,9598,468
2012,강원,1,0.3,0.8,2.2,0,0,1.3,3,6.3,1.5,1981,294,428,1259,0,0,601,45,606,7,201546,88865,56162,56519,0,0,44892,1492,9663,472
2013,강원,0.8,0.3,0.5,1.8,0,0,1.2,1.3,4.9,1.5,1635,289,299,1047,0,0,541,22,477,7,194543,83187,54755,56601,0,0,44774,1698,9665,464
2014,강원,0.7,0.4,0.5,1.4,0,0,0.9,1,3.9,0.2,1379,297,278,804,0,0,406,17,380,1,188408,80458,51976,55974,0,0,44139,1635,9745,455
2015,강원,0.7,0.3,0.5,1.4,0,0,0.9,0.4,3.6,1.3,1246,239,253,754,0,0,398,7,343,6,181323,78414,48073,54836,0,0,43264,1632,9485,455
2016,강원,0.7,0.4,0.5,1.5,0,0,1,0.7,3.7,0.7,1306,308,216,782,0,0,427,11,341,3,174287,76772,43999,53516,0,0,42218,1647,9190,461
2017,강원,0.8,0.5,0.5,1.6,0,0,1.1,0.6,4,2,1414,396,201,817,0,0,453,9,346,9,167595,75722,41274,50599,0,0,39921,1622,8603,453
2018,강원,0.9,0.4,0.6,1.8,0,0,1.2,1,4.9,1.1,1398,324,217,857,0,0,442,16,394,5,161530,75412,39391,46727,0,0,36712,1554,8008,453
2019,강원,0.9,0.4,0.6,1.9,0,0,1.3,1.2,5.1,0.9,1353,318,227,808,0,0,427,19,358,4,155888,75617,37701,42570,0,0,33508,1539,7065,458
1999,충북,0.9,0.3,0.8,2,1,3.2,0,0,0,0,2287,344,524,1419,365,1054,0,0,0,0,255089,121976,62116,70997,38018,32979,0,0,0,0
2000,충북,0.9,0.3,0.8,2.1,1,3.4,0,0,0,0,2184,311,463,1410,377,1033,0,0,0,0,250666,124176,60603,65887,35921,29966,0,0,0,0
2001,충북,0.9,0.3,0.9,2.3,1.4,3.5,0,0,0,0,2312,403,504,1405,461,944,0,0,0,0,246124,126177,58828,61119,34038,27081,0,0,0,0
2002,충북,0.9,0.3,0.7,2.1,1.3,3.3,0,0,0,0,2082,430,415,1237,443,794,0,0,0,0,243817,128201,57591,58025,33878,24147,0,0,0,0
2003,충북,1,0.8,0.7,1.8,1.2,2.8,0,0,0,0,2402,986,410,1006,400,606,0,0,0,0,243019,129175,57150,56694,34748,21946,0,0,0,0
2004,충북,0.6,0.3,0.6,1.5,0.9,2.4,0,0,0,0,1516,386,327,803,323,480,0,0,0,0,243004,128904,58853,55247,35504,19743,0,0,0,0
2005,충북,0.6,0.3,0.5,1.4,0.9,2.4,0,0,0,0,1449,362,322,765,308,457,0,0,0,0,242532,126588,61447,54497,35528,18969,0,0,0,0
2006,충북,0.7,0.3,0.8,1.6,0.9,2.9,0,0,0,0,1724,343,517,864,331,533,0,0,0,0,241263,122986,63839,54438,35757,18681,0,0,0,0
2007,충북,0.7,0.3,0.7,1.8,1,3.3,0,0,0,0,1780,322,452,1006,383,623,0,0,0,0,241362,120998,64291,56073,37308,18765,0,0,0,0
2008,충북,0.8,0.3,0.7,1.9,1.2,3.2,0,0,0,0,1882,335,447,1100,487,613,0,0,0,0,239370,116711,64261,58398,39492,18906,0,0,0,0
2009,충북,0.7,0.2,0.6,1.8,1.2,3.2,0,0,0,0,1667,212,365,1090,480,610,0,0,0,0,234871,110757,63516,60598,41387,19211,0,0,0,0
2010,충북,0.8,0.3,0.8,1.8,0,0,0,0,0,0,1848,270,493,1085,0,0,461,44,568,12,229043,105026,63120,60897,41352,19545,0,0,0,0
2011,충북,0.9,0.3,0.7,2,0,0,1.2,4.6,3.3,5.2,1923,318,417,1188,0,0,496,65,590,37,222166,99902,61590,60674,0,0,40509,1423,18031,711
2012,충북,0.8,0.3,0.7,1.8,0,0,1.3,8,2.2,3.1,1730,244,390,1096,0,0,481,147,374,94,214026,94507,59452,60067,0,0,37841,1846,17361,3019
2013,충북,0.8,0.3,0.6,1.7,0,0,1.5,2.6,2.3,1.2,1626,244,362,1020,0,0,549,56,356,59,205433,88860,57623,58950,0,0,36620,2121,15474,4735
2014,충북,0.7,0.3,0.5,1.5,0,0,1.1,1.6,2.6,0.5,1404,269,272,863,0,0,401,33,404,25,199402,86508,54970,57924,0,0,35609,2099,15497,4719
2015,충북,0.6,0.3,0.4,1.4,0,0,1.1,1.3,2.2,0.6,1207,223,219,765,0,0,385,28,326,26,192224,85290,50707,56227,0,0,34312,2116,15088,4711
2016,충북,0.7,0.3,0.5,1.6,0,0,1,1.6,3,0.9,1312,238,215,859,0,0,343,35,438,43,185276,84052,46287,54937,0,0,33574,2138,14504,4721
2017,충북,0.7,0.3,0.5,1.5,0,0,1,1.8,2.8,0.9,1226,250,197,779,0,0,322,38,380,39,180076,84240,43530,52306,0,0,32055,2158,13513,4580
2018,충북,0.8,0.3,0.5,1.7,0,0,1,1.4,3.7,1.2,1330,275,210,845,0,0,298,30,465,52,175582,85344,41869,48369,0,0,29417,2171,12471,4310
2019,충북,0.7,0.3,0.6,1.8,0,0,1,1.8,3.8,1,1277,266,230,781,0,0,277,39,424,41,171601,86709,40839,44053,0,0,26606,2196,11159,4092
1999,충남,1,0.2,0.8,2.6,1.5,4.1,0,0,0,0,3327,258,615,2454,823,1631,0,0,0,0,318356,149178,76085,93093,53124,39969,0,0,0,0
2000,충남,1.1,0.3,0.8,2.9,1.8,4.5,0,0,0,0,3441,396,606,2439,896,1543,0,0,0,0,310478,151526,73993,84959,51045,33914,0,0,0,0
2001,충남,1.1,0.4,0.9,2.9,2,4.4,0,0,0,0,3478,588,642,2248,936,1312,0,0,0,0,303349,153728,71934,77687,47820,29867,0,0,0,0
2002,충남,0.9,0.3,0.7,2.6,1.6,4.8,0,0,0,0,2794,409,489,1896,827,1069,0,0,0,0,298242,155257,70521,72464,50170,22294,0,0,0,0
2003,충남,0.9,0.5,0.8,1.9,1.2,3.6,0,0,0,0,2653,758,546,1349,584,765,0,0,0,0,296560,156793,69328,70439,49339,21100,0,0,0,0
2004,충남,0.7,0.3,0.8,1.6,1,3,0,0,0,0,2084,449,543,1092,497,595,0,0,0,0,296497,156721,71099,68677,48569,20108,0,0,0,0
2005,충남,0.7,0.3,0.7,1.5,1.2,2.5,0,0,0,0,2119,525,550,1044,562,482,0,0,0,0,298249,156088,74102,68059,48766,19293,0,0,0,0
2006,충남,0.8,0.4,0.7,1.9,1.4,3.3,0,0,0,0,2383,552,552,1279,659,620,0,0,0,0,299265,154598,77201,67466,48683,18783,0,0,0,0
2007,충남,0.8,0.3,0.8,1.9,1.4,3.4,0,0,0,0,2481,536,610,1335,696,639,0,0,0,0,301383,153984,78026,69373,50507,18866,0,0,0,0
2008,충남,0.8,0.2,0.7,2.1,1.4,4.1,0,0,0,0,2464,374,556,1534,771,763,0,0,0,0,300972,150382,78437,72153,53390,18763,0,0,0,0
2009,충남,0.7,0.2,0.6,2,1.6,3.1,0,0,0,0,2200,254,461,1485,899,586,0,0,0,0,297636,143961,78369,75306,56296,19010,0,0,0,0
2010,충남,0.9,0.3,0.8,2.1,0,0,0,0,0,0,2652,403,620,1629,0,0,1027,50,515,37,293841,138404,78580,76857,57731,19126,0,0,0,0
2011,충남,0.9,0.3,0.8,2.1,0,0,1.6,5.2,3.6,3.5,2695,422,656,1617,0,0,959,87,472,99,288186,132962,77771,77453,0,0,59712,1662,13273,2806
2012,충남,0.9,0.3,0.7,1.9,0,0,1.5,2.5,3.3,2.1,2436,407,566,1463,0,0,883,58,431,91,281869,127260,76604,78005,0,0,58091,2290,13252,4372
2013,충남,0.8,0.3,0.7,1.7,0,0,1.5,1.9,2.5,1.2,2143,371,490,1282,0,0,834,47,339,62,264920,116216,72867,75837,0,0,54919,2443,13312,5163
2014,충남,0.7,0.3,0.5,1.4,0,0,1.1,2.1,2.3,1.2,1745,349,384,1012,0,0,587,49,312,64,260168,115056,70209,74903,0,0,53713,2388,13321,5481
2015,충남,0.7,0.3,0.6,1.3,0,0,1.2,1.4,2,1.1,1723,363,367,993,0,0,639,38,255,61,254270,115484,65223,73563,0,0,52442,2622,12761,5738
2016,충남,0.7,0.3,0.4,1.5,0,0,1.4,1.2,2.2,0.8,1734,403,267,1064,0,0,709,31,276,48,248544,115309,60196,73039,0,0,51901,2623,12516,5999
2017,충남,0.7,0.4,0.5,1.5,0,0,1.3,1.7,2.5,1.2,1809,492,271,1046,0,0,644,44,288,70,244912,116963,57544,70405,0,0,50312,2587,11705,5801
2018,충남,0.8,0.4,0.6,1.6,0,0,1.2,2.3,3.6,1.2,1851,464,315,1072,0,0,570,58,376,68,242256,120152,56595,65509,0,0,47022,2502,10513,5472
2019,충남,0.8,0.4,0.7,1.8,0,0,1.4,1.9,3.9,1.3,2006,535,378,1093,0,0,591,45,389,68,238888,122424,56031,60433,0,0,42673,2390,10092,5278
1999,전북,1,0.3,0.8,2.3,0.9,3.8,0,0,0,0,3366,408,620,2338,449,1889,0,0,0,0,340240,156139,82150,101951,52809,49142,0,0,0,0
2000,전북,1,0.3,0.8,2.6,1,4.2,0,0,0,0,3411,422,645,2344,451,1893,0,0,0,0,330139,159683,78855,91601,46523,45078,0,0,0,0
2001,전북,1,0.3,0.7,2.6,1.1,4.1,0,0,0,0,3115,476,538,2101,485,1616,0,0,0,0,319263,161425,75524,82314,43010,39304,0,0,0,0
2002,전북,0.9,0.4,0.6,2.2,1.1,3.6,0,0,0,0,2733,576,450,1707,443,1264,0,0,0,0,312848,162816,74163,75869,40329,35540,0,0,0,0
2003,전북,0.9,0.6,0.6,2,0.9,3.3,0,0,0,0,2809,943,441,1425,383,1042,0,0,0,0,308818,162998,72900,72920,41135,31785,0,0,0,0
2004,전북,0.7,0.3,0.6,1.7,0.8,2.9,0,0,0,0,2106,464,440,1202,342,860,0,0,0,0,305665,160778,74161,70726,41291,29435,0,0,0,0
2005,전북,0.7,0.3,0.5,1.6,0.9,2.7,0,0,0,0,1976,416,415,1145,384,761,0,0,0,0,303909,157804,75975,70130,42312,27818,0,0,0,0
2006,전북,0.8,0.3,0.6,2.1,1.2,3.5,0,0,0,0,2407,513,465,1429,498,931,0,0,0,0,301977,154099,78238,69640,43160,26480,0,0,0,0
2007,전북,0.8,0.3,0.6,2.1,1.1,4,0,0,0,0,2414,455,462,1497,469,1028,0,0,0,0,299164,149721,78859,70584,44624,25960,0,0,0,0
2008,전북,0.7,0.3,0.6,1.8,1,3.4,0,0,0,0,2184,362,498,1324,464,860,0,0,0,0,294037,143293,78526,72218,47282,24936,0,0,0,0
2009,전북,0.7,0.2,0.6,1.8,0.9,3.8,0,0,0,0,2138,308,448,1382,444,938,0,0,0,0,287817,135336,77765,74716,50017,24699,0,0,0,0
